"No of Cases, Percentage, Age Specific Rate (ASPR),  Crude Incidence Rate (CIR),",,,,,,,,,,,,,,,,,,,,,,,
"Age Standardised Rate (ASR), Age Truncated Rate (35 - 64) (T.R), Cumulative Risk (0 - 74) (C.R)",,,,,,,,,,,,,,,,,,,,,,,
FEMALE  -  AGE GROUP:  0  to   75+   -  YEAR FROM : 2017 TO : 2021   - SITE :  ALL SITES      DISTRICT :All Districts,,,,,,,,,,,,,,,,,,,,,,,
ICD -10,SITE,TOTAL,%,0-4,5-9',10-14',15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,C.I.R,A.S.R,T.R,CR%
C81       ,Hodgkin  Disease         ,799,0.4 ,0.1 ,0.3 ,0.3 ,0.5 ,0.5 ,0.4 ,0.5 ,0.3 ,0.3 ,0.4 ,0.5 ,0.4 ,0.5 ,0.7 ,0.6 ,0.4 ,0.4 ,0.4 ,0.4 ,0.031 
"C82-86,96 ",Non-Hodg Lymphoma        ,2840,1.4 ,0.5 ,0.4 ,0.4 ,0.4 ,0.6 ,0.5 ,0.6 ,0.9 ,1.1 ,1.8 ,2.4 ,3.3 ,4.1 ,5.6 ,4.7 ,3.5 ,1.4 ,1.3 ,2.1 ,0.136 
C90       ,Multiple Myeloma         ,1391,0.7 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.3 ,0.3 ,0.9 ,1.9 ,2.6 ,2.9 ,3.3 ,2.6 ,1.4 ,0.7 ,0.6 ,1.3 ,0.075 
C91       ,Lymphoid Leukaemia       ,1886,0.9 ,3.2 ,2.9 ,1.5 ,0.7 ,0.4 ,0.3 ,0.3 ,0.3 ,0.3 ,0.5 ,0.6 ,0.8 ,1.0 ,1.1 ,0.8 ,0.9 ,0.9 ,1.2 ,0.5 ,0.074 
C92-C94   ,Myeloid Leukaemia        ,2453,1.2 ,0.4 ,0.4 ,0.5 ,0.7 ,0.7 ,0.9 ,1.0 ,1.3 ,1.3 ,2.1 ,2.0 ,2.4 ,2.2 ,2.1 ,1.7 ,1.4 ,1.2 ,1.1 ,1.8 ,0.099 
C95       ,Unspeci. Leukaemia       ,424,0.2 ,0.2 ,0.1 ,0.1 ,0.2 ,0.1 ,0.1 ,0.1 ,0.2 ,0.1 ,0.2 ,0.4 ,0.4 ,0.5 ,0.4 ,0.4 ,0.6 ,0.2 ,0.2 ,0.3 ,0.017 
Oth & Unsp,Others & Unspecified     ,551,0.3 ,0.1 ,0.0 ,0.0 ,0.0 ,0.1 ,0.0 ,0.1 ,0.1 ,0.3 ,0.4 ,0.6 ,0.9 ,0.9 ,1.1 ,0.7 ,0.7 ,0.3 ,0.2 ,0.5 ,0.027 
C76-80    ,Primary Uncertain        ,23400,11.4 ,0.4 ,0.4 ,0.5 ,0.8 ,1.1 ,1.6 ,3.1 ,5.4 ,8.7 ,16.1 ,25.2 ,32.4 ,36.8 ,47.0 ,46.8 ,56.2 ,11.5 ,9.9 ,18.8 ,1.126 
TOTAL, ,204689,100.0 ,8.7 ,7.5 ,6.7 ,8.2 ,10.8 ,17.1 ,32.0 ,63.5 ,102.5 ,181.7 ,250.4 ,299.5 ,313.4 ,357.5 ,307.2 ,249.4 ,100.3 ,87.0 ,186.8 ,9.365 
TOTAL,,,,,,,,,,,,,,,,,,,,,,,
