"No of Cases, Percentage, Age Specific Rate (ASPR),  Crude Incidence Rate (CIR),",,,,,,,,,,,,,,,,,,,,,,
"Age Standardised Rate (ASR), Age Truncated Rate (35 - 64) (T.R), Cumulative Risk (0 - 74) (C.R)",,,,,,,,,,,,,,,,,,,,,,
MALE  -  AGE GROUP:  0  to   75+   -  YEAR FROM : 2017 TO : 2021   - SITE :  All Sites      ALL DISTRICTS,,,,,,,,,,,,,,,,,,,,,,
District,TOTAL,%,0-4,5-9',10-14',15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,C.I.R,A.S.R,T.R,C.R
Villupuram,6376,0.0 ,11.1 ,8.0 ,6.9 ,8.1 ,9.2 ,11.3 ,20.8 ,35.1 ,55.0 ,87.7 ,138.0 ,201.7 ,250.1 ,358.7 ,317.7 ,336.8 ,64.4 ,65.9 ,115.0 ,7.317 
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,*Chennai district represents 155 divisions pertaining to old metropolitan limits only,,,,,,,,,,,,,,,,,,,,,
,*Kanchipuram district includes Chengalpattu district also,,,,,,,,,,,,,,,,,,,,,
,*Nagapattinam district includes Mayiladuthurai district also,,,,,,,,,,,,,,,,,,,,,
,*Tirunelveli district includes Tenkasi district also,,,,,,,,,,,,,,,,,,,,,
,*Vellore district includes Ranipet and Tirupattur districts also,,,,,,,,,,,,,,,,,,,,,
,*Viluppuram district includes Kallakuruchi district also,,,,,,,,,,,,,,,,,,,,,
