"No of Cases, Percentage, Age Specific Rate (ASPR),  Crude Incidence Rate (CIR),",,,,,,,,,,,,,,,,,,,,,,,
"Age Standardised Rate (ASR), Age Truncated Rate (35 - 64) (T.R), Cumulative Risk (0 - 74) (C.R)",,,,,,,,,,,,,,,,,,,,,,,
MALE+FEMALE  -  AGE GROUP:  0  to   75+   -  YEAR FROM : 2017 TO : 2021   - SITE :  ALL SITES      DISTRICT :All Districts,,,,,,,,,,,,,,,,,,,,,,,
ICD -10,SITE,TOTAL,%,0-4,5-9',10-14',15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,C.I.R,A.S.R,T.R,CR%
C52       ,Vagina                   ,1156,0.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.6 ,0.8 ,0.8 ,1.0 ,1.4 ,1.0 ,0.9 ,0.3 ,0.3 ,0.5 ,0.030 
C53       ,Cervix                   ,32428,8.7 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.3 ,1.2 ,4.5 ,9.0 ,17.1 ,23.0 ,27.2 ,28.0 ,29.6 ,22.9 ,14.7 ,8.0 ,6.9 ,16.7 ,0.810 
C54       ,Corpus Uteri             ,8032,2.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.3 ,0.7 ,1.2 ,2.5 ,5.3 ,7.8 ,8.7 ,9.9 ,7.5 ,4.0 ,2.0 ,1.7 ,3.8 ,0.220 
C55       ,Uterus unsp.             ,858,0.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.2 ,0.4 ,0.5 ,0.4 ,0.5 ,0.4 ,0.7 ,0.5 ,0.5 ,0.2 ,0.2 ,0.4 ,0.019 
C56       ,Ovary                    ,11322,3.1 ,0.1 ,0.1 ,0.2 ,0.4 ,0.7 ,0.8 ,1.1 ,1.8 ,3.2 ,5.5 ,7.4 ,8.3 ,8.5 ,8.9 ,7.1 ,4.8 ,2.8 ,2.4 ,5.4 ,0.269 
C57       ,Oth female  Genital      ,134,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.0 ,0.0 ,0.1 ,0.003 
C58       ,Placenta                 ,132,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.002 
C60       ,Penis                    ,2648,0.7 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.4 ,0.9 ,1.4 ,1.9 ,2.2 ,3.0 ,3.7 ,3.5 ,0.7 ,0.6 ,1.1 ,0.070 
C61       ,Prostate                 ,6553,1.8 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.3 ,0.8 ,2.2 ,5.6 ,10.9 ,16.1 ,22.0 ,1.6 ,1.5 ,1.2 ,0.180 
C62       ,Testis                   ,997,0.3 ,0.1 ,0.0 ,0.0 ,0.2 ,0.4 ,0.4 ,0.5 ,0.4 ,0.3 ,0.2 ,0.2 ,0.2 ,0.1 ,0.2 ,0.1 ,0.2 ,0.2 ,0.2 ,0.2 ,0.017 
C63       ,Oth Male  Genital        ,65,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.0 ,0.1 ,0.1 ,0.0 ,0.0 ,0.0 ,0.002 
C64       ,Kidney                   ,3491,0.9 ,0.7 ,0.2 ,0.1 ,0.0 ,0.0 ,0.1 ,0.2 ,0.4 ,0.7 ,1.1 ,1.9 ,2.4 ,3.0 ,3.9 ,2.8 ,2.8 ,0.9 ,0.8 ,1.4 ,0.088 
C65       ,Renal Pelvis             ,44,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.0 ,0.0 ,0.0 ,0.001 
C66       ,Ureter                   ,115,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.2 ,0.2 ,0.2 ,0.0 ,0.0 ,0.0 ,0.003 
C67       ,Bladder                  ,5026,1.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.3 ,0.4 ,0.9 ,2.0 ,2.9 ,4.5 ,7.3 ,8.5 ,10.7 ,1.2 ,1.1 ,1.6 ,0.135 
C68       ,Urethera                 ,113,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.2 ,0.2 ,0.1 ,0.0 ,0.0 ,0.0 ,0.003 
C69       ,Eye And Adnexa           ,307,0.1 ,0.5 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.006 
C70-C72   ,Brain & CNS              ,6223,1.7 ,0.9 ,1.2 ,0.8 ,0.6 ,0.6 ,0.9 ,1.2 ,1.7 ,1.6 ,2.2 ,2.8 ,2.9 ,3.1 ,3.4 ,2.2 ,1.5 ,1.5 ,1.4 ,2.3 ,0.131 
C73       ,Thyroid                  ,7410,2.0 ,0.0 ,0.0 ,0.1 ,0.5 ,1.0 ,1.5 ,1.9 ,2.4 ,2.2 ,3.0 ,3.2 ,3.6 ,3.7 ,4.4 ,4.0 ,3.2 ,1.8 ,1.6 ,2.9 ,0.157 
C74       ,"Adrenal  Gland etc.,     ",427,0.1 ,0.6 ,0.3 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.2 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.009 
C75       ,Endocrine Glands         ,242,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.0 ,0.1 ,0.1 ,0.1 ,0.005 
C81       ,Hodgkin  Disease         ,2284,0.6 ,0.1 ,0.6 ,0.5 ,0.7 ,0.6 ,0.5 ,0.5 ,0.5 ,0.4 ,0.6 ,0.7 ,0.7 ,0.7 ,1.0 ,0.9 ,0.6 ,0.6 ,0.5 ,0.6 ,0.045 
"C82-86,96 ",Non-Hodg Lymphoma        ,7351,2.0 ,0.6 ,0.6 ,0.5 ,0.6 ,0.7 ,0.7 ,0.8 ,1.0 ,1.4 ,2.3 ,3.2 ,4.2 ,5.0 ,7.0 ,7.0 ,5.8 ,1.8 ,1.7 ,2.6 ,0.178 
C90       ,Multiple Myeloma         ,3529,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.3 ,0.4 ,1.0 ,2.1 ,2.9 ,3.7 ,4.6 ,4.0 ,3.4 ,0.9 ,0.8 ,1.5 ,0.096 
C91       ,Lymphoid Leukaemia       ,5029,1.4 ,3.7 ,3.6 ,2.0 ,1.2 ,0.7 ,0.5 ,0.4 ,0.4 ,0.4 ,0.5 ,0.8 ,0.9 ,1.2 ,1.7 ,1.5 ,1.7 ,1.2 ,1.5 ,0.7 ,0.098 
C92-C94   ,Myeloid Leukaemia        ,5693,1.5 ,0.5 ,0.5 ,0.5 ,0.8 ,0.9 ,1.0 ,1.3 ,1.5 ,1.5 ,2.1 ,2.2 ,2.7 ,2.6 ,3.1 ,2.5 ,2.1 ,1.4 ,1.3 ,2.0 ,0.119 
C95       ,Unspeci. Leukaemia       ,925,0.2 ,0.2 ,0.1 ,0.2 ,0.2 ,0.2 ,0.1 ,0.1 ,0.2 ,0.1 ,0.2 ,0.3 ,0.4 ,0.5 ,0.5 ,0.5 ,0.8 ,0.2 ,0.2 ,0.3 ,0.019 
Oth & Unsp,Others & Unspecified     ,934,0.3 ,0.1 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.1 ,0.2 ,0.3 ,0.5 ,0.7 ,0.8 ,0.9 ,0.7 ,0.6 ,0.2 ,0.2 ,0.4 ,0.023 
C76-80    ,Primary Uncertain        ,49220,13.3 ,0.4 ,0.4 ,0.6 ,0.9 ,1.3 ,1.6 ,2.9 ,5.1 ,8.0 ,14.4 ,24.0 ,33.3 ,40.7 ,55.7 ,58.9 ,72.7 ,12.1 ,10.7 ,18.7 ,1.235 
TOTAL, ,371035,100.0 ,9.8 ,8.8 ,7.3 ,8.9 ,10.9 ,14.9 ,26.3 ,50.3 ,79.3 ,137.4 ,204.0 ,261.9 ,303.8 ,381.5 ,353.2 ,331.0 ,91.1 ,81.1 ,157.6 ,8.873 
TOTAL,,,,,,,,,,,,,,,,,,,,,,,
