"No of Cases, Percentage, Age Specific Rate (ASPR),  Crude Incidence Rate (CIR),",,,,,,,,,,,,,,,,,,,,,,
"Age Standardised Rate (ASR), Age Truncated Rate (35 - 64) (T.R), Cumulative Risk (0 - 74) (C.R)",,,,,,,,,,,,,,,,,,,,,,
FEMALE  -  AGE GROUP:  0  to   75+   -  YEAR FROM : 2017 TO : 2021   - SITE :  All Sites      ALL DISTRICTS,,,,,,,,,,,,,,,,,,,,,,
District,TOTAL,%,0-4,5-9',10-14',15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,C.I.R,A.S.R,T.R,C.R
Villupuram,8524,0.0 ,4.8 ,6.8 ,5.6 ,7.8 ,8.0 ,14.9 ,33.1 ,61.5 ,112.1 ,192.4 ,239.6 ,288.2 ,295.9 ,344.8 ,252.1 ,198.5 ,87.0 ,83.0 ,184.9 ,8.916 
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,*Chennai district represents 155 divisions pertaining to old metropolitan limits only,,,,,,,,,,,,,,,,,,,,,
,*Kanchipuram district includes Chengalpattu district also,,,,,,,,,,,,,,,,,,,,,
,*Nagapattinam district includes Mayiladuthurai district also,,,,,,,,,,,,,,,,,,,,,
,*Tirunelveli district includes Tenkasi district also,,,,,,,,,,,,,,,,,,,,,
,*Vellore district includes Ranipet and Tirupattur districts also,,,,,,,,,,,,,,,,,,,,,
,*Viluppuram district includes Kallakuruchi district also,,,,,,,,,,,,,,,,,,,,,
